event_id,session_id,event_time,user_id,account_type,dept,role,device_id,device_new_flag,ip_region,event_type,action_object,object_type,object_domain,sensitivity_level,query_count,access_count,cross_table_count,cross_domain_count,export_count,file_size_mb,print_pages,screenshot_count,external_send_count,copy_count,target_path_type,usb_registered_flag,approval_flag,business_flag,case_id,task_id,cross_dept_flag,off_work_flag,deviation_person,deviation_role,sensitive_hit_ratio,unique_id_ratio,data_mask_flag,keep_days,compress_flag,encrypt_flag,delete_flag,tool_abnormal_flag
E00000001,S00000012,2026-04-20 02:38:35,U0005,外包,外协,外包人员,D9916X,1,杭州,login,异常登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,1.0,1.0,0.66,0.73,0,0,0,0,0,0
E00000002,S00000012,2026-04-20 02:40:31,U0005,外包,外协,外包人员,D9916X,1,杭州,query,人口高敏查询,表,人口,5,155,21,6,4,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,8.61,7.75,0.57,0.57,0,0,0,0,0,0
E00000003,S00000012,2026-04-20 02:42:55,U0005,外包,外协,外包人员,D9916X,1,杭州,export,人口批量导出,文件,人口,5,0,0,0,0,74,177.99,0,0,0,0,本地,1,0,0,,,0,1,370.0,148.0,0.55,0.51,0,0,0,0,0,0
E00000004,S00000012,2026-04-20 02:44:44,U0005,外包,外协,外包人员,D9916X,1,杭州,copy,敏感文件拷贝,文件,人口,5,0,0,0,0,0,238.0,0,0,0,73,本地,1,0,0,,,0,1,1.0,1.0,0.58,0.31,0,0,0,0,0,0
E00000005,S00000012,2026-04-20 02:46:32,U0005,外包,外协,外包人员,D9916X,1,杭州,delete,删除原文件/日志,文件,人口,5,0,0,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,1.0,1.0,0.77,0.66,0,0,1,1,1,1
E00000006,S00000002,2026-04-20 10:51:13,U0001,内部,刑侦,内勤,D0001A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,1.0,1.0,0.24,0.11,1,0,0,0,0,0
E00000007,S00000002,2026-04-20 10:52:58,U0001,内部,刑侦,内勤,D0001A,0,北京,query,案件信息查询,表,案件,3,6,6,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,0.13,0.1,0.08,0.07,1,0,0,0,0,0
E00000008,S00000002,2026-04-20 10:55:08,U0001,内部,刑侦,内勤,D0001A,0,北京,export,案件数据导出,文件,案件,3,0,0,0,0,4,0.71,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,4.0,4.0,0.04,0.12,1,0,0,0,0,0
E00000009,S00000009,2026-04-20 10:56:56,U0003,内部,科信,管理员,D0003B,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200003,T202604200003,0,0,1.0,1.0,0.05,0.08,1,0,0,0,0,0
E00000010,S00000009,2026-04-20 10:59:13,U0003,内部,科信,管理员,D0003B,0,北京,query,系统信息查询,表,系统,2,9,1,0,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200003,T202604200003,0,0,0.3,0.26,0.16,0.08,1,0,0,0,0,0
