event_id,session_id,event_time,user_id,account_type,dept,role,device_id,device_new_flag,ip_region,event_type,action_object,object_type,object_domain,sensitivity_level,query_count,access_count,cross_table_count,cross_domain_count,export_count,file_size_mb,print_pages,screenshot_count,external_send_count,copy_count,target_path_type,usb_registered_flag,approval_flag,business_flag,case_id,task_id,cross_dept_flag,off_work_flag,deviation_person,deviation_role,sensitive_hit_ratio,unique_id_ratio,data_mask_flag,keep_days,compress_flag,encrypt_flag,delete_flag,tool_abnormal_flag
E00000001,S00000001,2026-04-20 21:03:57,U0002,内部,网安,民警,D9939X,1,深圳,login,异常登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,1,1,1.0,1.0,0.94,0.29,0,0,0,0,0,0
E00000002,S00000001,2026-04-20 21:05:48,U0002,内部,网安,民警,D9939X,1,深圳,query,案件高敏查询,表,案件,4,281,32,5,6,0,0.0,0,0,0,0,本地,1,0,0,,,1,1,3.51,3.12,0.76,0.35,0,0,0,0,0,0
E00000003,S00000001,2026-04-20 21:07:55,U0002,内部,网安,民警,D9939X,1,深圳,query,案件高敏查询,表,案件,4,290,33,9,5,0,0.0,0,0,0,0,本地,1,0,0,,,1,1,3.62,3.22,0.67,0.31,0,0,0,0,0,0
E00000004,S00000001,2026-04-20 21:09:54,U0002,内部,网安,民警,D9939X,1,深圳,export,案件批量导出,文件,案件,4,0,0,0,0,269,23.13,0,0,0,0,本地,1,0,0,,,1,1,134.5,134.5,0.58,0.62,0,0,0,0,0,0
E00000001,S00000001,2026-04-20 11:43:39,U0001,内部,刑侦,内勤,D0001B,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,1.0,1.0,0.22,0.01,1,0,0,0,0,0
E00000002,S00000001,2026-04-20 11:45:41,U0001,内部,刑侦,内勤,D0001B,0,北京,query,人口信息查询,表,人口,3,23,5,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,0.51,0.38,0.09,0.04,1,0,0,0,0,0
E00000003,S00000001,2026-04-20 11:47:52,U0001,内部,刑侦,内勤,D0001B,0,北京,query,人口信息查询,表,人口,3,16,4,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,0.36,0.27,0.11,0.06,1,0,0,0,0,0
E00000004,S00000002,2026-04-20 13:03:00,U0004,内部,运维,运维,D0004A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,1.0,1.0,0.11,0.01,1,0,0,0,0,0
E00000005,S00000002,2026-04-20 13:05:05,U0004,内部,运维,运维,D0004A,0,北京,query,系统信息查询,表,系统,2,7,2,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,0.35,0.28,0.23,0.02,1,0,0,0,0,0
E00000006,S00000002,2026-04-20 13:07:12,U0004,内部,运维,运维,D0004A,0,北京,print,系统文档打印,文件,系统,2,0,0,0,0,0,0.0,11,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,5.5,1.0,0.25,0.04,1,0,0,0,0,0
