candidate_event_id,session_id,user_id,is_anomaly,scene_type,scene_hint,expected_risk,start_time,object_domain
U0001_S00000001,S00000001,U0001,0,normal,正常业务会话,low,2026-04-20 12:20:46,案件
U0002_S00000002,S00000002,U0002,0,normal,正常业务会话,low,2026-04-20 10:02:10,车辆
U0003_S00000003,S00000003,U0003,0,normal,正常业务会话,low,2026-04-20 10:55:24,系统
U0003_S00000004,S00000004,U0003,0,normal,正常业务会话,low,2026-04-20 12:52:09,系统
U0004_S00000005,S00000005,U0004,1,usb_copy_delete,高敏数据导出后拷贝到未备案 USB 并删除痕迹,high,2026-04-20 02:17:33,通信
U0007_S00000006,S00000006,U0007,0,normal,正常业务会话,low,2026-04-20 15:25:18,人口
U0007_S00000007,S00000007,U0007,0,normal,正常业务会话,low,2026-04-20 14:49:38,人口
U0007_S00000008,S00000008,U0007,0,normal,正常业务会话,low,2026-04-20 10:35:09,案件
U0008_S00000009,S00000009,U0008,0,normal,正常业务会话,low,2026-04-20 09:31:44,系统
U0008_S00000010,S00000010,U0008,0,normal,正常业务会话,low,2026-04-20 15:08:08,认证域
U0009_S00000011,S00000011,U0009,0,normal,正常业务会话,low,2026-04-20 14:47:28,认证域
U0009_S00000012,S00000012,U0009,0,normal,正常业务会话,low,2026-04-20 17:07:57,系统
U0009_S00000013,S00000013,U0009,0,normal,正常业务会话,low,2026-04-20 11:17:03,系统
U0010_S00000014,S00000014,U0010,0,normal,正常业务会话,low,2026-04-20 10:37:47,人口
U0012_S00000015,S00000015,U0012,0,normal,正常业务会话,low,2026-04-20 15:10:15,人口
U0012_S00000016,S00000016,U0012,0,normal,正常业务会话,low,2026-04-20 12:37:11,车辆
