event_id,session_id,event_time,user_id,account_type,dept,role,device_id,device_new_flag,ip_region,event_type,action_object,object_type,object_domain,sensitivity_level,query_count,access_count,cross_table_count,cross_domain_count,export_count,file_size_mb,print_pages,screenshot_count,external_send_count,copy_count,target_path_type,usb_registered_flag,approval_flag,business_flag,case_id,task_id,cross_dept_flag,off_work_flag,deviation_person,deviation_role,sensitive_hit_ratio,unique_id_ratio,data_mask_flag,keep_days,compress_flag,encrypt_flag,delete_flag,tool_abnormal_flag
E00000001,S00000008,2026-04-20 02:34:25,U0003,内部,科信,管理员,D9072X,1,广州,login,异常登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,1.0,1.0,0.93,0.55,0,0,0,0,0,0
E00000002,S00000008,2026-04-20 02:36:21,U0003,内部,科信,管理员,D9072X,1,广州,query,通信高敏查询,表,通信,4,203,31,4,4,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,6.77,5.8,0.95,0.48,0,0,0,0,0,0
E00000003,S00000008,2026-04-20 02:38:09,U0003,内部,科信,管理员,D9072X,1,广州,export,通信批量导出,文件,通信,4,0,0,0,0,319,31.09,0,0,0,0,本地,1,0,0,,,0,1,319.0,319.0,0.74,0.6,0,0,0,0,0,0
E00000004,S00000008,2026-04-20 02:40:36,U0003,内部,科信,管理员,D9072X,1,广州,copy,敏感文件拷贝,文件,通信,4,0,0,0,0,0,273.57,0,0,0,77,USB,0,0,0,,,0,1,1.0,1.0,0.83,0.71,0,0,0,0,0,0
E00000005,S00000008,2026-04-20 02:42:26,U0003,内部,科信,管理员,D9072X,1,广州,delete,删除原文件/日志,文件,通信,4,0,0,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,1.0,1.0,0.65,0.43,0,0,1,1,1,1
E00000006,S00000002,2026-04-20 08:14:15,U0001,内部,刑侦,内勤,D0001B,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,1.0,1.0,0.05,0.02,1,0,0,0,0,0
E00000007,S00000002,2026-04-20 08:16:11,U0001,内部,刑侦,内勤,D0001B,0,北京,query,人口信息查询,表,人口,3,6,5,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,0.13,0.1,0.15,0.09,1,0,0,0,0,0
E00000008,S00000002,2026-04-20 08:18:13,U0001,内部,刑侦,内勤,D0001B,0,北京,print,人口文档打印,文件,人口,3,0,0,0,0,0,0.0,10,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,1.25,1.0,0.04,0.09,1,0,0,0,0,0
E00000009,S00000007,2026-04-20 10:45:22,U0002,内部,网安,民警,D0002B,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,1.0,1.0,0.22,0.11,1,0,0,0,0,0
E00000010,S00000011,2026-04-20 10:46:10,U0003,内部,科信,管理员,D0003A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200003,T202604200003,0,0,1.0,1.0,0.05,0.11,1,0,0,0,0,0
